Complexity	Name	Platform	Type	Task	Input Modality	Solution	Related URLs / Examples	Notes
Simple	WeScheme	Web	Block based Programming Enviornment	Copy/Cut and Paste	Keyboard / (Voice - Still to be tested)	Use arrow keys to navigate to desired source.  Multi-select is achieved through holding down Ctrl & arrowkeys and use space bar to add to active set.  (Similar to File managers / Windows Explorer).  Note: Can not do Shift, so you can't do contigeous selection.  Arrow to destination, then you can do a paste or paste before.  Must pick a direction for paste.  Ctrl + Shift + V is paste before vs. standard Ctrl + V to paste after	wescheme.org	Tree View which is accessible of the Blocks
Simple	iOS Legacy VO Drag and Drop	iOS	OS manipulation of objects (applications, or content) 	Drag an icon (app or folder) to an empty location or ontop of another icon on the same screen	touch & Keyboard	Double tap and hold the item you are trying to move then slide you're finger to the spot you want to drop the item, then lift finger off screen.		
Simple	Windows File Explorer	Windows	OS manipulation of objects (applications, or content) 	Dragging and dropping a single item	Keyboard	arrow keys to select the source, use Ctrl+C or X to copy/cut respectively and use keyboard to navigate to destination, and use Ctrl+V to paste		
Simple	iOS Picker	iOS	Slider	actuating a slider or picker object.	touch & Keyboard	Focus the picker control, and swipe up/down to adjust values		anything from switching screens from ios, to adjusting the date in a calendar, swiping between photos in a caracell object.
Simple	Web Slider	Web	Slider	adjust a slider	Keyboard	Arrow keys increment/decrement, home and end keys snap to beginning/end, page up/page down step a large amount than up or down arrow moves you.  Touch gestures allow for manipulation of single values only at this time.	http://w3c.github.io/aria-practices/#slider	So page up/down are larger incremental values which can change depending on the situation.
Simple	Rotate an object about a point	Web	Slider?	Example: Rotate an arm and a leg attached to a body. As leg rotates, foot rubs on a carpet and charges are transfered into body. As arm rotates, it gets closer/farther from a metal  object that can discharge charges from body if they are too close.	Keyboard/Mouse/Touch	Rotating objects behave like web sliders. Arrow keys move them, and increment their position. Positionss along angles of rotation are described relative to important locations. Every movement, position of object is described by a screen reader.	Prototype Version	
Simple	Example of multiple sliders	Web	Multiple Sliders 	Collection of sliders that change different things with dynamic results	Keyboard/Mouse/Touch	Each slider is an HTML input with type=range. Dynamic behavior that results from changes is announced with an aria-live alert.	https://phet.colorado.edu/sims/html/resistance-in-a-wire/latest/resistance-in-a-wire_en.html	This example supports keyboard navigation but not alternative text
Simple	Categorization CSUN 	Web	Categorization	Using keyboard to select a single item from one list and drop it into a specific category target area	Keyboard	Proof of concept and sample code provided for simple web based categorization	https://benetech.github.io/Accessible-Interactives-Dev/Drag%20and%20Drop/Categorization/Categorization.html	
Simple	Match CSUN	Web	Matching	Using keyboard to select a single item from one list then select its match in a second list and making the connection between the two is pressing a button to confirm the match.	Keyboard	Proof of concept and sample code provided for simple web based categorization	https://benetech.github.io/Accessible-Interactives-Dev/Drag%20and%20Drop/Match/index.html	
Simple	Sorting CSUN	Web	Sorting	Using a keyboard to select and move in a list one item to another position in the list	Keyboard	Proof of concept and sample code provided for simple web based sorting a list	https://benetech.github.io/Accessible-Interactives-Dev/Drag%20and%20Drop/Sortable/sortable.html	
Intermediate 	iOS 11 Voice Over Drag and Drop	iOS	OS manipulation of objects (applications, or content) 	copy/cut/paste/drag and drop and create folders	touch & Keyboard	Must be in edit mode, use the actions rotar to select drag.  Navigate on your device to a destination, then you have some options to either add the currently focused item to your drag session, or paste everything in your drag session before or after the currently focused item or combine to create a new folder with all items in the drag session and currently focused item.		 
Intermediate 	iOS Legacy VO Drag and Drop	iOS	OS manipulation of objects (applications, or content) 	Drag an icon (app or folder) to an empty location or ontop of another icon on a different screen	touch & Keyboard	Double tap and hold the item you are trying to move then slide you're finger to the right or left edge of the screen for next/previous screen respetively.  Hold your finger there until screen change is announced, keep holding to subsequent screen or drop item to desired location.		
Intermediate 	Windows File Explorer	Windows	OS manipulation of objects (applications, or content) 	Dragging and dropping multiple items	Keyboard	Use Ctrl + arrow keys to move focus without cancelling selection, use Ctrl + space to select an item, or Ctrl + shift+ arrow keys to select a multiple items while preserving the other selected non-contigeous items.   use Ctrl+C or X to copy/cut respectively and use keyboard to navigate to destination, and use Ctrl+V to paste		
Intermediate	Dragging objects along a 1D line	Web	Slider?	Move 2 masses in a line closer and farther away from each other to observe the force they excert on each other.	Keyboard/Mouse/Touch	Masses look like web sliders. Arrow keys move them along 1D position line. Page up and  page down move them by 1/10 of their available range. Home and End move masses to beginning and end of their range, respectively.	Prototype Version	
Intermediate	Large Number of Drop Targets	Web	Application	Example: Drag squares into an nxn grid to create shapes and measure shape area and perimeter, where n is > 10	Keyboard/Mouse/Touch		Prototype Version	This example currently has no support for accessibility.
